policy_training_condition,policy_training_seed,tag,environment_steps,value
nominal,5,rollout/ep_rew_mean,2498560,1041.729248046875
nominal,5,rollout/ep_rew_mean,2506752,1054.2237548828125
nominal,5,rollout/ep_rew_mean,2514944,1047.437744140625
nominal,5,rollout/ep_rew_mean,2523136,1066.0120849609375
nominal,5,rollout/ep_rew_mean,2531328,1090.15869140625
nominal,5,rollout/ep_rew_mean,2539520,1156.48828125
nominal,5,rollout/ep_rew_mean,2547712,1149.5335693359375
nominal,5,rollout/ep_rew_mean,2555904,1071.8050537109375
nominal,5,rollout/ep_rew_mean,2564096,1089.5528564453125
nominal,5,rollout/ep_rew_mean,2572288,1133.9368896484375
nominal,5,rollout/ep_rew_mean,2580480,1150.28759765625
nominal,5,rollout/ep_rew_mean,2588672,1147.7435302734375
nominal,5,rollout/ep_rew_mean,2596864,1183.2745361328125
nominal,5,rollout/ep_rew_mean,2605056,1196.133544921875
nominal,5,rollout/ep_rew_mean,2613248,1236.4212646484375
nominal,5,rollout/ep_rew_mean,2621440,1253.915771484375
nominal,5,rollout/ep_rew_mean,2629632,1259.2503662109375
nominal,5,rollout/ep_rew_mean,2637824,1259.6685791015625
nominal,5,rollout/ep_rew_mean,2646016,1271.5068359375
nominal,5,rollout/ep_rew_mean,2654208,1277.2596435546875
nominal,5,rollout/ep_rew_mean,2662400,1232.5771484375
nominal,5,rollout/ep_rew_mean,2670592,1230.9830322265625
nominal,5,rollout/ep_rew_mean,2678784,1165.6240234375
nominal,5,rollout/ep_rew_mean,2686976,1146.9786376953125
nominal,5,rollout/ep_rew_mean,2695168,1178.8367919921875
nominal,5,rollout/ep_rew_mean,2703360,1172.1893310546875
nominal,5,rollout/ep_rew_mean,2711552,1128.8074951171875
nominal,5,rollout/ep_rew_mean,2719744,1098.2562255859375
nominal,5,rollout/ep_rew_mean,2727936,1095.813232421875
nominal,5,rollout/ep_rew_mean,2736128,1112.8214111328125
nominal,5,rollout/ep_rew_mean,2744320,1133.168212890625
nominal,5,rollout/ep_rew_mean,2752512,1056.680908203125
nominal,5,rollout/ep_rew_mean,2760704,1025.4169921875
nominal,5,rollout/ep_rew_mean,2768896,994.8449096679688
nominal,5,rollout/ep_rew_mean,2777088,931.9410400390625
nominal,5,rollout/ep_rew_mean,2785280,967.5942993164062
nominal,5,rollout/ep_rew_mean,2793472,1027.7333984375
nominal,5,rollout/ep_rew_mean,2801664,1053.0897216796875
nominal,5,rollout/ep_rew_mean,2809856,1082.860107421875
nominal,5,rollout/ep_rew_mean,2818048,1115.634765625
nominal,5,rollout/ep_rew_mean,2826240,1120.2921142578125
nominal,5,rollout/ep_rew_mean,2834432,1132.1961669921875
nominal,5,rollout/ep_rew_mean,2842624,1201.456787109375
nominal,5,rollout/ep_rew_mean,2850816,1139.1048583984375
nominal,5,rollout/ep_rew_mean,2859008,1104.162353515625
nominal,5,rollout/ep_rew_mean,2867200,1082.8516845703125
nominal,5,rollout/ep_rew_mean,2875392,1091.32568359375
nominal,5,rollout/ep_rew_mean,2883584,1130.586181640625
